索引,股票名称,股票代码,当前价格,涨幅,涨跌额度,成交量（手）,成交额,振幅
3030,利通电子,603629,21.95,-0.99%,-0.22,5.10万,1.13亿,3.74%
3031,东华科技,002140,9.97,-0.99%,-0.1,4.62万,4603.99万,2.18%
3032,晶雪节能,301010,14.95,-0.99%,-0.15,1.47万,2182.48万,3.31%
3033,宇通重工,600817,10.96,-0.99%,-0.11,9718,1064.11万,1.90%
3034,大胜达,603687,6.97,-0.99%,-0.07,6.06万,4201.14万,3.41%
3035,恒太照明,873339,10.95,-0.99%,-0.11,5207,563.40万,3.44%
3036,国网英大,600517,4.97,-1.00%,-0.05,11.51万,5728.57万,2.59%
3037,中国铁建,601186,7.95,-1.00%,-0.08,16.70万,1.33亿,1.12%
3038,创耀科技,688259,38.7,-1.00%,-0.39,1.24万,4766.37万,3.02%
3039,声迅股份,003004,19.83,-1.00%,-0.2,6001,1192.82万,4.09%
3040,海利尔,603639,11.89,-1.00%,-0.12,7253,859.53万,2.50%
3041,创耀科技,688259,38.7,-1.00%,-0.39,1.24万,4766.37万,3.02%
3042,徐工机械,000425,8.93,-1.00%,-0.09,22.06万,1.97亿,1.44%
3043,声迅股份,003004,19.83,-1.00%,-0.2,6001,1192.82万,4.09%
3044,海利尔,603639,11.89,-1.00%,-0.12,7253,859.53万,2.50%
3045,苏垦农发,601952,9.9,-1.00%,-0.1,5.87万,5840.64万,1.40%
3046,久吾高科,300631,19.8,-1.00%,-0.2,6212,1231.99万,2.50%
3047,仕佳光子,688313,25.72,-1.00%,-0.26,41.65万,10.86亿,5.31%
3048,诚迈科技,300598,41.48,-1.00%,-0.42,1.83万,7640.62万,3.13%
3049,溯联股份,301397,33.51,-1.00%,-0.34,1.69万,5624.37万,3.55%
3050,深圳华强,000062,24.61,-1.01%,-0.25,18.06万,4.45亿,2.25%
3051,电子城,600658,3.93,-1.01%,-0.04,8.81万,3446.39万,3.02%
3052,安彩高科,600207,3.93,-1.01%,-0.04,6.16万,2406.92万,2.27%
3053,景津装备,603279,16.69,-1.01%,-0.17,8712,1454.10万,1.42%
3054,荣晟环保,603165,11.78,-1.01%,-0.12,1.04万,1229.14万,2.18%
3055,ST红太阳,000525,6.87,-1.01%,-0.07,21.49万,1.47亿,3.75%
3056,云南锗业,002428,18.64,-1.01%,-0.19,4.87万,9083.64万,1.43%
3057,老白干酒,600559,17.64,-1.01%,-0.18,6.05万,1.07亿,1.68%
3058,亚世光电,002952,17.62,-1.01%,-0.18,9647,1693.51万,2.81%
3059,高新发展,000628,46,-1.01%,-0.47,2.87万,1.32亿,2.47%
3060,安宁股份,002978,30.34,-1.01%,-0.31,5472,1657.07万,2.61%
3061,测绘股份,300826,14.67,-1.01%,-0.15,1.17万,1718.14万,3.58%
3062,吉冈精密,836720,19.55,-1.01%,-0.2,2.17万,4188.92万,3.49%
3063,金冠股份,300510,3.91,-1.01%,-0.04,9.68万,3794.84万,2.78%
3064,中安科,600654,2.93,-1.01%,-0.03,13.78万,4025.14万,2.36%
3065,漫步者,002351,12.68,-1.01%,-0.13,5.03万,6374.43万,1.87%
3066,豪悦护理,605009,54.62,-1.01%,-0.56,2.68万,1.44亿,5.91%
3067,信濠光电,301051,20.47,-1.02%,-0.21,4934,1004.60万,3.19%
3068,乐山电力,600644,13.64,-1.02%,-0.14,71.77万,9.92亿,9.58%
3069,鹏鹞环保,300664,4.87,-1.02%,-0.05,3.50万,1708.22万,2.44%
3070,德宏股份,603701,15.58,-1.02%,-0.16,1.59万,2457.00万,2.54%
3071,凯伦股份,300715,10.71,-1.02%,-0.11,1.69万,1820.23万,2.59%
3072,田野股份,832023,5.84,-1.02%,-0.06,5.22万,3016.64万,2.88%
3073,上海石化,600688,2.92,-1.02%,-0.03,19.31万,5654.89万,1.69%
3074,蓝箭电子,301348,22.37,-1.02%,-0.23,1.96万,4360.84万,3.19%
3075,能辉科技,301046,18.47,-1.02%,-0.19,9505,1754.81万,2.47%
3076,厦门信达,000701,4.86,-1.02%,-0.05,7.26万,3515.34万,2.24%
3077,物产中大,600704,4.85,-1.02%,-0.05,13.37万,6493.11万,2.04%
3078,智能自控,002877,7.74,-1.02%,-0.08,1.89万,1457.69万,2.30%
3079,华是科技,301218,18.38,-1.02%,-0.19,1.19万,2196.04万,3.55%
3080,中炬高新,600872,20.31,-1.02%,-0.21,3.54万,7182.02万,1.36%
3081,碧兴物联,688671,17.3,-1.03%,-0.18,2572,444.62万,2.17%
3082,宇邦新材,301266,28.82,-1.03%,-0.3,8596,2476.47万,2.85%
3083,广聚能源,000096,17.29,-1.03%,-0.18,3.71万,6365.34万,3.09%
3084,远方信息,300306,11.52,-1.03%,-0.12,2.72万,3122.59万,2.58%
3085,锌业股份,000751,2.88,-1.03%,-0.03,16.23万,4707.93万,2.41%
3086,上海洗霸,603200,34.55,-1.03%,-0.36,2.07万,7153.22万,1.98%
3087,诺泰生物,688076,53.65,-1.03%,-0.56,1.93万,1.03亿,2.66%
3088,浙江恒威,301222,25.8,-1.04%,-0.27,2718,701.41万,2.65%
3089,岱美股份,603730,7.64,-1.04%,-0.08,2.38万,1820.35万,1.68%
3090,荣丰控股,000668,4.77,-1.04%,-0.05,5.50万,2504.18万,7.68%
3091,利通电子,603629,21.94,-1.04%,-0.23,5.10万,1.13亿,3.74%
3092,高测股份,688556,8.58,-1.04%,-0.09,2.58万,2211.92万,1.38%
3093,蔚蓝生物,603739,12.38,-1.04%,-0.13,3.84万,4750.25万,2.32%
3094,兴福电子,688545,26.66,-1.04%,-0.28,1.67万,4457.33万,1.97%
3095,智度股份,000676,7.61,-1.04%,-0.08,7.73万,5906.54万,2.34%
3096,冠盛股份,605088,32.3,-1.04%,-0.34,2.31万,7482.44万,2.82%
3097,工业富联,601138,18.05,-1.04%,-0.19,23.74万,4.30亿,1.70%
3098,爱施德,002416,11.4,-1.04%,-0.12,7.33万,8392.99万,1.91%
3099,云铝股份,000807,15.19,-1.04%,-0.16,15.18万,2.31亿,1.43%
3100,威海广泰,002111,9.49,-1.04%,-0.1,2.41万,2288.29万,1.88%
3101,威海广泰,002111,9.49,-1.04%,-0.1,2.41万,2293.04万,1.88%
3102,华岭股份,430139,24.67,-1.04%,-0.26,2.77万,6794.00万,3.85%
3103,奥来德,688378,18,-1.04%,-0.19,1.58万,2837.56万,2.31%
3104,广和通,300638,24.62,-1.05%,-0.26,13.82万,3.41亿,3.62%
3105,通化金马,000766,17.98,-1.05%,-0.19,6.93万,1.25亿,1.76%
3106,东航物流,601156,12.3,-1.05%,-0.13,7.09万,8735.73万,1.69%
3107,深圳华强,000062,24.6,-1.05%,-0.26,18.07万,4.45亿,2.25%
3108,国联民生,601456,9.46,-1.05%,-0.1,9.95万,9411.56万,1.46%
3109,石大胜华,603026,34.05,-1.05%,-0.36,6504,2212.02万,2.30%
3110,博俊科技,300926,25.47,-1.05%,-0.27,2.07万,5266.97万,2.45%
3111,联合精密,001268,20.74,-1.05%,-0.22,2.44万,5041.48万,3.39%
3112,荣旗科技,301360,43.28,-1.05%,-0.46,4422,1907.36万,3.38%
3113,彩虹股份,600707,6.58,-1.05%,-0.07,6.68万,4399.39万,1.65%
3114,方大炭素,600516,4.7,-1.05%,-0.05,8.10万,3816.37万,2.11%
3115,立霸股份,603519,12.21,-1.05%,-0.13,1.58万,1934.80万,1.86%
3116,慧辰股份,688500,29.05,-1.06%,-0.31,5505,1600.02万,5.86%
3117,广东宏大,002683,30.87,-1.06%,-0.33,4.27万,1.31亿,2.63%
3118,英威腾,002334,7.48,-1.06%,-0.08,9.16万,6857.94万,2.91%
3119,新疆交建,002941,11.21,-1.06%,-0.12,7.54万,8501.06万,3.27%
3120,福石控股,300071,4.67,-1.06%,-0.05,15.32万,7138.71万,3.39%
3121,中科微至,688211,27.08,-1.06%,-0.29,1519,410.52万,0.88%
3122,濮阳惠成,300481,13.06,-1.06%,-0.14,2.13万,2782.25万,2.50%
3123,中国中铁,601390,5.59,-1.06%,-0.06,21.75万,1.22亿,1.06%
3124,建科智能,300823,13.04,-1.06%,-0.14,1.52万,1979.31万,3.49%
3125,寒锐钴业,300618,31.66,-1.06%,-0.34,2.21万,6996.17万,1.78%
3126,东方钽业,000962,14.89,-1.06%,-0.16,2.49万,3709.27万,1.53%
3127,信德新材,301349,34.42,-1.06%,-0.37,4885,1672.95万,2.39%
3128,多瑞医药,301075,21.38,-1.06%,-0.23,1.62万,3474.96万,3.79%
3129,华宝股份,300741,15.79,-1.07%,-0.17,6888,1086.07万,2.32%
3130,杭可科技,688006,16.71,-1.07%,-0.18,1.03万,1721.51万,2.37%
3131,国药现代,600420,10.21,-1.07%,-0.11,5.47万,5576.38万,1.45%
3132,纳尔股份,002825,9.28,-1.07%,-0.1,3.62万,3344.37万,2.77%
3133,华媒控股,000607,3.71,-1.07%,-0.04,3.85万,1425.87万,2.67%
3134,中创股份,688695,28.72,-1.07%,-0.31,7909,2273.51万,4.17%
3135,海螺新材,000619,5.55,-1.07%,-0.06,3.18万,1748.40万,3.21%
3136,联特科技,301205,61.83,-1.07%,-0.67,1.00万,6222.12万,1.74%
3137,宇瞳光学,300790,21.21,-1.07%,-0.23,5.06万,1.07亿,2.10%
3138,海泰新能,835985,11.05,-1.07%,-0.12,2.13万,2344.25万,2.95%
3139,红塔证券,601236,7.36,-1.08%,-0.08,7.52万,5532.44万,2.15%
3140,海科新源,301292,13.8,-1.08%,-0.15,1.04万,1432.09万,2.37%
3141,红塔证券,601236,7.36,-1.08%,-0.08,7.52万,5532.59万,2.15%
3142,海科新源,301292,13.8,-1.08%,-0.15,1.04万,1432.09万,2.37%
3143,锦龙股份,000712,11.04,-1.08%,-0.12,6.17万,6802.77万,2.06%
3144,赛分科技,688758,15.63,-1.08%,-0.17,7840,1221.57万,3.16%
3145,金凯生科,301509,30.33,-1.08%,-0.33,4.74万,1.42亿,3.36%
3146,仕佳光子,688313,25.7,-1.08%,-0.28,41.75万,10.89亿,5.31%
3147,开创电气,301448,20.19,-1.08%,-0.22,6985,1414.35万,4.56%
3148,万润科技,002654,11.01,-1.08%,-0.12,8.07万,8912.59万,2.07%
3149,密封科技,301020,19.26,-1.08%,-0.21,8588,1656.10万,2.31%
3150,航天工程,603698,16.5,-1.08%,-0.18,9873,1630.71万,1.50%
3151,零点有数,301169,34.82,-1.08%,-0.38,7647,2650.82万,4.06%
3152,中金岭南,000060,4.58,-1.08%,-0.05,15.30万,7017.33万,1.30%
3153,理工光科,300557,30.21,-1.08%,-0.33,6203,1868.08万,2.19%
3154,海川智能,300720,20.13,-1.08%,-0.22,1.95万,3937.02万,3.19%
3155,广东建工,002060,3.66,-1.08%,-0.04,7.33万,2683.89万,1.62%
3156,深圳瑞捷,300977,15.53,-1.08%,-0.17,1.09万,1689.19万,4.08%
3157,公牛集团,603195,71.24,-1.08%,-0.78,1.22万,8708.50万,1.24%
3158,华岭股份,430139,24.66,-1.08%,-0.27,2.77万,6795.73万,3.85%
3159,正邦科技,002157,2.74,-1.08%,-0.03,28.91万,7956.34万,1.44%
3160,华海药业,600521,14.6,-1.08%,-0.16,6.76万,9832.87万,1.83%
3161,正邦科技,002157,2.74,-1.08%,-0.03,28.91万,7956.34万,1.44%
3162,华海药业,600521,14.6,-1.08%,-0.16,6.76万,9832.87万,1.83%
3163,梦洁股份,002397,3.65,-1.08%,-0.04,6.71万,2461.63万,3.52%
3164,星昊医药,430017,17.33,-1.08%,-0.19,2.26万,3901.26万,3.71%
3165,财达证券,600906,6.37,-1.09%,-0.07,8.85万,5630.07万,2.17%
3166,石化油服,600871,1.82,-1.09%,-0.02,26.48万,4831.07万,1.63%
3167,建元信托,600816,2.73,-1.09%,-0.03,16.30万,4458.77万,2.54%
3168,广聚能源,000096,17.28,-1.09%,-0.19,3.71万,6365.52万,3.09%
3169,联特科技,301205,61.82,-1.09%,-0.68,1.01万,6228.92万,1.74%
3170,乐山电力,600644,13.63,-1.09%,-0.15,71.78万,9.92亿,9.58%
3171,可立克,002782,11.8,-1.09%,-0.13,2.59万,3057.45万,2.43%
3172,和顺科技,301237,22.68,-1.09%,-0.25,2460,554.39万,3.31%
3173,白银有色,601212,2.72,-1.09%,-0.03,26.26万,7156.57万,2.18%
3174,宁波韵升,600366,7.25,-1.09%,-0.08,6.43万,4663.12万,1.77%
3175,杭氧股份,002430,19.01,-1.09%,-0.21,3.04万,5768.73万,1.77%
3176,辽宁能源,600758,3.62,-1.09%,-0.04,15.87万,5771.97万,3.83%
3177,昊志机电,300503,22.62,-1.09%,-0.25,4.96万,1.12亿,2.75%
3178,德新科技,603032,12.66,-1.09%,-0.14,1.07万,1358.97万,2.73%
3179,南京化纤,600889,16.26,-1.09%,-0.18,5.52万,8970.28万,1.76%
3180,金龙羽,002882,16.26,-1.09%,-0.18,1.99万,3251.29万,2.37%
3181,德新科技,603032,12.66,-1.09%,-0.14,1.07万,1358.97万,2.73%
3182,金龙羽,002882,16.26,-1.09%,-0.18,1.99万,3251.29万,2.37%
3183,粤海饲料,001313,8.12,-1.10%,-0.09,3.95万,3210.69万,3.05%
3184,高新兴,300098,4.51,-1.10%,-0.05,18.33万,8244.97万,2.85%
3185,药易购,300937,24.35,-1.10%,-0.27,9254,2239.06万,2.84%
3186,派特尔,836871,16.22,-1.10%,-0.18,2917,474.44万,2.87%
3187,三达膜,688101,12.6,-1.10%,-0.14,8123,1029.32万,1.73%
3188,派斯林,600215,9,-1.10%,-0.1,9.65万,8741.76万,2.42%
3189,盛景微,603375,32.39,-1.10%,-0.36,6757,2189.74万,1.68%
3190,东珠生态,603359,6.29,-1.10%,-0.07,46.94万,2.96亿,8.18%
3191,供销大集,000564,2.69,-1.10%,-0.03,72.16万,1.95亿,2.21%
3192,博拓生物,688767,39.44,-1.10%,-0.44,8860,3445.37万,5.14%
3193,阿为特,873693,41.22,-1.10%,-0.46,3013,1235.81万,2.38%
3194,同惠电子,833509,25.06,-1.10%,-0.28,1.94万,4843.14万,3.79%
3195,科净源,301372,16.11,-1.10%,-0.18,6033,969.74万,2.33%
3196,*ST长方,300301,1.79,-1.10%,-0.02,6.19万,1100.21万,2.76%
3197,云意电气,300304,7.15,-1.11%,-0.08,6.84万,4883.61万,2.07%
3198,威孚高科,000581,18.76,-1.11%,-0.21,8.57万,1.61亿,1.79%
3199,赛特新材,688398,14.29,-1.11%,-0.16,1.07万,1501.09万,4.01%
3200,中再资环,600217,4.46,-1.11%,-0.05,6.34万,2828.03万,1.77%
3201,首创证券,601136,19.62,-1.11%,-0.22,6.60万,1.30亿,1.61%
3202,浙江龙盛,600352,9.8,-1.11%,-0.11,10.60万,1.04亿,2.32%
3203,播恩集团,001366,10.69,-1.11%,-0.12,1.76万,1882.01万,2.87%
3204,长城军工,601606,11.58,-1.11%,-0.13,4.43万,5120.62万,1.88%
3205,瑞星股份,836717,10.68,-1.11%,-0.12,7421,777.91万,5.28%
3206,英飞特,300582,11.57,-1.11%,-0.13,1.72万,1980.49万,2.74%
3207,开尔新材,300234,4.45,-1.11%,-0.05,3.13万,1392.45万,3.33%
3208,汇得科技,603192,16.88,-1.11%,-0.19,1.27万,2141.80万,3.10%
3209,兆丰股份,300695,61.24,-1.11%,-0.69,6851,4204.96万,3.88%
3210,华友钴业,603799,33.72,-1.11%,-0.38,12.48万,4.21亿,1.47%
3211,江龙船艇,300589,10.64,-1.12%,-0.12,2.51万,2679.06万,2.42%
3212,神州高铁,000008,2.66,-1.12%,-0.03,22.18万,5912.84万,1.86%
3213,腾远钴业,301219,44.28,-1.12%,-0.5,2.12万,9347.19万,1.74%
3214,鑫铂股份,003038,18.59,-1.12%,-0.21,1.42万,2647.26万,2.71%
3215,华瑞股份,300626,8.85,-1.12%,-0.1,1.45万,1277.49万,3.24%
3216,华自科技,300490,7.08,-1.12%,-0.08,3.89万,2749.60万,3.07%
3217,ST晨鸣,000488,1.77,-1.12%,-0.02,10.84万,1921.11万,2.23%
3218,安旭生物,688075,36.28,-1.12%,-0.41,1798,649.95万,1.69%
3219,菱电电控,688667,44.24,-1.12%,-0.5,1266,558.41万,3.51%
3220,德科立,688205,52.19,-1.12%,-0.59,2.33万,1.22亿,4.24%
3221,安旭生物,688075,36.28,-1.12%,-0.41,1798,649.95万,1.69%
3222,菱电电控,688667,44.24,-1.12%,-0.5,1266,558.41万,3.51%
3223,德科立,688205,52.19,-1.12%,-0.59,2.33万,1.22亿,4.24%
3224,港通医疗,301515,17.69,-1.12%,-0.2,5300,933.12万,2.63%
3225,数字认证,300579,26.53,-1.12%,-0.3,2.35万,6252.92万,3.32%
3226,双飞集团,300817,25.63,-1.12%,-0.29,5.13万,1.31亿,4.17%
3227,中仑新材,301565,19.42,-1.12%,-0.22,1.41万,2736.00万,2.09%
3228,三孚新科,688359,45.9,-1.12%,-0.52,3612,1648.45万,2.22%
3229,獐子岛,002069,3.53,-1.12%,-0.04,4.01万,1417.31万,3.08%
3230,迎驾贡酒,603198,49.41,-1.12%,-0.56,3.08万,1.53亿,1.30%
3231,博硕科技,300951,27.35,-1.12%,-0.31,7535,2059.72万,2.17%
3232,中国铁建,601186,7.94,-1.12%,-0.09,16.71万,1.33亿,1.12%
3233,朗姿股份,002612,15.88,-1.12%,-0.18,5.18万,8183.41万,2.37%
3234,汇绿生态,001267,7.94,-1.12%,-0.09,4.70万,3766.64万,3.74%
3235,安达科技,830809,5.29,-1.12%,-0.06,1.81万,954.34万,4.11%
3236,亚光科技,300123,5.28,-1.12%,-0.06,9.16万,4831.11万,2.06%
3237,冰山冷热,000530,5.28,-1.12%,-0.06,15.54万,8231.50万,3.56%
3238,铭普光磁,002902,16.71,-1.12%,-0.19,1.59万,2660.22万,2.01%
3239,赛微电子,300456,15.83,-1.12%,-0.18,4.39万,6948.89万,1.94%
3240,公牛集团,603195,71.21,-1.12%,-0.81,1.22万,8714.91万,1.24%
3241,冰山冷热,000530,5.28,-1.12%,-0.06,15.54万,8231.50万,3.56%
3242,铭普光磁,002902,16.71,-1.12%,-0.19,1.59万,2660.22万,2.01%
3243,赛微电子,300456,15.83,-1.12%,-0.18,4.39万,6948.89万,1.94%
3244,钢研高纳,300034,14.94,-1.13%,-0.17,4.06万,6077.28万,1.92%
3245,中信重工,601608,4.39,-1.13%,-0.05,36.03万,1.59亿,2.48%
3246,东航物流,601156,12.29,-1.13%,-0.14,7.11万,8757.50万,1.69%
3247,山西焦化,600740,3.51,-1.13%,-0.04,10.41万,3650.01万,1.69%
3248,长虹华意,000404,7.02,-1.13%,-0.08,8.86万,6228.46万,2.39%
3249,普天科技,002544,20.17,-1.13%,-0.23,3.80万,7630.13万,3.19%
3250,华宝股份,300741,15.78,-1.13%,-0.18,6893,1086.86万,2.32%
3251,中鼎股份,000887,16.65,-1.13%,-0.19,20.34万,3.40亿,2.85%
3252,爱施德,002416,11.39,-1.13%,-0.13,7.38万,8453.12万,1.91%
3253,健帆生物,300529,21.89,-1.13%,-0.25,2.42万,5295.70万,1.54%
3254,航天软件,688562,14.87,-1.13%,-0.17,8515,1264.32万,2.79%
3255,国能日新,301162,61.9,-1.13%,-0.71,1.57万,9704.67万,6.45%
3256,一鸣食品,605179,21.79,-1.13%,-0.25,5.12万,1.11亿,2.63%
3257,东华软件,002065,9.58,-1.14%,-0.11,46.44万,4.48亿,3.10%
3258,大胜达,603687,6.96,-1.14%,-0.08,6.06万,4203.71万,3.41%
3259,漱玉平民,301017,10.44,-1.14%,-0.12,1.35万,1406.24万,3.79%
3260,亿华通-U,688339,20,-1.14%,-0.23,1.46万,2890.35万,3.76%
3261,雅化集团,002497,11.3,-1.14%,-0.13,4.56万,5164.50万,2.01%
3262,航天宏图,688066,16.51,-1.14%,-0.19,1.94万,3197.57万,3.77%
3263,华森制药,002907,13.9,-1.14%,-0.16,4.11万,5712.57万,2.06%
3264,宝胜股份,600973,4.34,-1.14%,-0.05,11.78万,5151.85万,2.73%
3265,科捷智能,688455,11.27,-1.14%,-0.13,5875,659.19万,2.46%
3266,博盈特焊,301468,20.8,-1.14%,-0.24,3520,735.39万,2.57%
3267,南风股份,300004,7.8,-1.14%,-0.09,49.93万,4.07亿,9.25%
3268,川宁生物,301301,12.11,-1.14%,-0.14,7.46万,8991.35万,1.47%
3269,传艺科技,002866,14.7,-1.14%,-0.17,3.01万,4397.13万,2.42%
3270,天罡股份,832651,29.39,-1.14%,-0.34,8399,2442.48万,4.78%
3271,康普顿,603798,8.64,-1.14%,-0.1,1.12万,973.50万,1.60%
3272,翔腾新材,001373,26.75,-1.15%,-0.31,4757,1268.48万,2.73%
3273,东亚药业,605177,16.39,-1.15%,-0.19,8738,1428.70万,2.41%
3274,苏轴股份,430418,37.94,-1.15%,-0.44,2.22万,8342.51万,3.54%
3275,易普力,002096,12.07,-1.15%,-0.14,2.22万,2687.91万,1.31%
3276,威海广泰,002111,9.48,-1.15%,-0.11,2.41万,2293.79万,1.88%
3277,宁波建工,601789,5.17,-1.15%,-0.06,19.30万,9999.27万,2.10%
3278,爱仕达,002403,13.77,-1.15%,-0.16,3.28万,4502.82万,2.66%
3279,奥 特 迅,002227,11.17,-1.15%,-0.13,1.89万,2118.17万,3.01%
3280,国联民生,601456,9.45,-1.15%,-0.11,9.96万,9412.79万,1.46%
3281,南京化纤,600889,16.25,-1.16%,-0.19,5.52万,8970.45万,1.76%
3282,宏力达,688330,25.65,-1.16%,-0.3,4003,1031.54万,2.27%
3283,派瑞股份,300831,13.66,-1.16%,-0.16,1.81万,2470.85万,2.17%
3284,严牌股份,301081,9.38,-1.16%,-0.11,1.12万,1044.99万,2.95%
3285,金富科技,003018,11.93,-1.16%,-0.14,10.89万,1.26亿,5.97%
3286,长虹美菱,000521,7.66,-1.16%,-0.09,8.05万,6146.40万,2.58%
3287,建工修复,300958,11.06,-1.16%,-0.13,1.10万,1206.74万,2.86%
3288,富淼科技,688350,14.45,-1.16%,-0.17,5844,847.11万,2.67%
3289,和邦生物,603077,1.7,-1.16%,-0.02,29.65万,5046.87万,1.74%
3290,蓝科高新,601798,6.8,-1.16%,-0.08,9.50万,6525.99万,3.63%
3291,三 力 士,002224,4.25,-1.16%,-0.05,5.02万,2127.62万,2.09%
3292,华映科技,000536,4.25,-1.16%,-0.05,20.88万,8852.64万,1.63%
3293,辰光医疗,430300,16.14,-1.16%,-0.19,2.79万,4639.14万,5.45%
3294,超越科技,301049,20.38,-1.16%,-0.24,6510,1322.31万,2.57%
3295,贝隆精密,301567,35.66,-1.16%,-0.42,2805,1000.55万,3.19%
3296,安车检测,300572,17.83,-1.16%,-0.21,2.13万,3828.07万,2.49%
3297,线上线下,300959,37.35,-1.16%,-0.44,7584,2829.09万,2.88%
3298,锦龙股份,000712,11.03,-1.16%,-0.13,6.18万,6811.05万,2.06%
3299,隆平高科,000998,10.17,-1.17%,-0.12,11.96万,1.22亿,0.97%
3300,天振股份,301356,14.4,-1.17%,-0.17,6102,875.16万,3.09%
3301,中国黄金,600916,8.46,-1.17%,-0.1,11.67万,9882.03万,1.52%
3302,兴瑞科技,002937,16.06,-1.17%,-0.19,2.49万,4003.76万,1.85%
3303,金正大,002470,1.69,-1.17%,-0.02,22.48万,3810.29万,2.34%
3304,信邦制药,002390,3.38,-1.17%,-0.04,10.23万,3447.48万,2.34%
3305,天赐材料,002709,16.89,-1.17%,-0.2,6.01万,1.01亿,1.52%
3306,立讯精密,002475,31.24,-1.17%,-0.37,52.11万,16.37亿,2.53%
3307,健民集团,600976,43.02,-1.17%,-0.51,9640,4158.72万,2.07%
3308,美年健康,002044,5.06,-1.17%,-0.06,41.13万,2.08亿,2.73%
3309,炬申股份,001202,16.01,-1.17%,-0.19,1.50万,2392.87万,3.58%
3310,中国海防,600764,27.8,-1.17%,-0.33,2.25万,6307.79万,1.88%
3311,联芸科技,688449,40.32,-1.18%,-0.48,1.20万,4825.65万,2.52%
3312,赛特新材,688398,14.28,-1.18%,-0.17,1.07万,1504.49万,4.01%
3313,万邦达,300055,5.04,-1.18%,-0.06,7.24万,3627.04万,3.33%
3314,陕国投Ａ,000563,3.36,-1.18%,-0.04,22.22万,7487.71万,1.18%
3315,三达膜,688101,12.59,-1.18%,-0.15,8125,1029.57万,1.73%
3316,广康生化,300804,24.34,-1.18%,-0.29,6117,1477.48万,3.61%
3317,雪天盐业,600929,5.02,-1.18%,-0.06,4.16万,2091.04万,1.57%
3318,金徽酒,603919,19.23,-1.18%,-0.23,1.83万,3520.09万,1.70%
3319,国星光电,002449,8.35,-1.18%,-0.1,6.87万,5726.98万,3.08%
3320,田野股份,832023,5.83,-1.19%,-0.07,5.22万,3018.21万,2.88%
3321,龙泉股份,002671,4.15,-1.19%,-0.05,4.76万,1988.75万,3.81%
3322,英威腾,002334,7.47,-1.19%,-0.09,9.17万,6862.72万,2.91%
3323,新劲刚,300629,17.39,-1.19%,-0.21,1.89万,3294.66万,1.88%
3324,蔚蓝锂芯,002245,12.41,-1.19%,-0.15,13.37万,1.66亿,2.07%
3325,葵花药业,002737,15.71,-1.19%,-0.19,3.31万,5217.89万,1.38%
3326,建设工业,002265,19.84,-1.20%,-0.24,5.39万,1.07亿,2.39%
3327,双飞集团,300817,25.61,-1.20%,-0.31,5.14万,1.31亿,4.17%
3328,睿昂基因,688217,20.64,-1.20%,-0.25,6838,1411.19万,5.27%
3329,航天软件,688562,14.86,-1.20%,-0.18,8523,1265.51万,2.79%
3330,蔚蓝生物,603739,12.36,-1.20%,-0.15,3.85万,4752.84万,2.32%
3331,晋拓股份,603211,16.48,-1.20%,-0.2,1.82万,2994.93万,2.34%
3332,达实智能,002421,3.29,-1.20%,-0.04,18.85万,6231.16万,2.70%
3333,盛洋科技,603703,9.86,-1.20%,-0.12,1.94万,1922.83万,2.40%
3334,美腾科技,688420,20.54,-1.20%,-0.25,1506,310.12万,1.88%
3335,彩虹股份,600707,6.57,-1.20%,-0.08,6.68万,4401.69万,1.65%
3336,景业智能,688290,45.98,-1.20%,-0.56,1.79万,8481.51万,8.01%
3337,图南股份,300855,21.33,-1.20%,-0.26,1.25万,2668.60万,2.50%
3338,宝地矿业,601121,5.74,-1.20%,-0.07,1.90万,1092.10万,2.24%
3339,智莱科技,300771,9.83,-1.21%,-0.12,2.16万,2119.60万,2.71%
3340,汇金通,603577,8.19,-1.21%,-0.1,2.44万,2003.93万,3.14%
3341,美能能源,001299,14.74,-1.21%,-0.18,2.40万,3562.48万,2.55%
3342,安道麦A,000553,5.73,-1.21%,-0.07,2.00万,1136.63万,2.59%
3343,肇民科技,301000,53.98,-1.21%,-0.66,10.55万,5.68亿,6.26%
3344,山西焦煤,000983,6.54,-1.21%,-0.08,14.69万,9597.21万,1.66%
3345,皇台酒业,000995,12.26,-1.21%,-0.15,2.80万,3419.74万,2.42%
3346,华森制药,002907,13.89,-1.21%,-0.17,4.11万,5718.13万,2.06%
3347,泰福泵业,300992,20.42,-1.21%,-0.25,6558,1340.85万,2.56%
3348,瑞晨环保,301273,22.05,-1.21%,-0.27,3654,810.32万,3.85%
3349,爱迪特,301580,48.97,-1.21%,-0.6,3470,1692.61万,2.42%
3350,上海港湾,605598,19.58,-1.21%,-0.24,4467,876.63万,1.36%
3351,欣龙控股,000955,4.07,-1.21%,-0.05,5.48万,2239.41万,2.43%
3352,义翘神州,301047,60.21,-1.21%,-0.74,3241,1948.38万,2.25%
3353,南京熊猫,600775,8.95,-1.21%,-0.11,5.77万,5165.85万,2.43%
3354,DR邦德股,838171,14.64,-1.21%,-0.18,6164,897.71万,5.87%
3355,中国铁物,000927,2.44,-1.21%,-0.03,18.08万,4420.29万,1.62%
3356,遥望科技,002291,5.68,-1.22%,-0.07,13.29万,7535.18万,2.96%
3357,派克新材,605123,54.35,-1.22%,-0.67,5123,2795.86万,3.02%
